#ISSUEDATE,EXPIREDATE,ISSUEWFO,MESSAGEID,MESSAGETYPE,WARNINGTYPE
2015-01-23 22:31:00.0,2015-01-23 23:30:00.0,KJAX,232231,WUUS52,SEVERE THUNDERSTORM
2015-01-24 01:39:00.0,2015-01-24 02:45:00.0,KJAX,240139,WHUS52,SPECIAL MARINE
2015-01-24 08:35:00.0,2015-01-24 09:00:00.0,KTBW,240835,WUUS52,SEVERE THUNDERSTORM
2015-01-24 08:50:00.0,2015-01-24 09:15:00.0,KTBW,240850,WFUS52,TORNADO
2015-01-24 11:37:00.0,2015-01-24 12:30:00.0,KILM,241137,WHUS52,SPECIAL MARINE
2015-01-24 11:49:00.0,2015-01-24 12:45:00.0,KILM,241149,WHUS52,SPECIAL MARINE
2015-01-24 12:31:00.0,2015-01-24 14:00:00.0,KMLB,241231,WHUS52,SPECIAL MARINE
2015-01-25 23:49:00.0,2015-01-26 00:30:00.0,KBMX,252349,WUUS54,SEVERE THUNDERSTORM
2015-01-25 23:58:00.0,2015-01-26 01:00:00.0,KBMX,252358,WUUS54,SEVERE THUNDERSTORM
2015-01-26 15:49:00.0,2015-01-26 16:15:00.0,KMFL,261549,WHUS52,SPECIAL MARINE
2015-01-26 16:15:00.0,2015-01-26 17:00:00.0,KMFL,261615,WHUS52,SPECIAL MARINE
2015-01-26 16:32:00.0,2015-01-26 17:15:00.0,KMFL,261632,WHUS52,SPECIAL MARINE
2015-01-26 16:56:00.0,2015-01-26 18:30:00.0,KMFL,261656,WHUS52,SPECIAL MARINE
2015-02-01 20:53:00.0,2015-02-01 21:30:00.0,KJAN,12053,WUUS54,SEVERE THUNDERSTORM
2015-02-01 20:59:00.0,2015-02-01 21:45:00.0,KSHV,12059,WUUS54,SEVERE THUNDERSTORM
2015-02-01 21:12:00.0,2015-02-01 22:00:00.0,KJAN,12112,WUUS54,SEVERE THUNDERSTORM
2015-02-01 21:27:00.0,2015-02-01 22:15:00.0,KJAN,12127,WUUS54,SEVERE THUNDERSTORM
2015-02-01 21:45:00.0,2015-02-01 22:30:00.0,KJAN,12145,WUUS54,SEVERE THUNDERSTORM
2015-02-01 21:50:00.0,2015-02-01 22:30:00.0,KJAN,12150,WUUS54,SEVERE THUNDERSTORM
2015-02-01 22:14:00.0,2015-02-01 23:00:00.0,KJAN,12214,WUUS54,SEVERE THUNDERSTORM
2015-02-01 22:48:00.0,2015-02-01 23:45:00.0,KJAN,12248,WUUS54,SEVERE THUNDERSTORM
2015-02-01 22:52:00.0,2015-02-01 23:30:00.0,KJAN,12252,WUUS54,SEVERE THUNDERSTORM
2015-02-01 22:58:00.0,2015-02-01 23:45:00.0,KJAN,12258,WUUS54,SEVERE THUNDERSTORM
2015-02-01 23:17:00.0,2015-02-02 00:00:00.0,KJAN,12317,WUUS54,SEVERE THUNDERSTORM
2015-02-01 23:22:00.0,2015-02-02 00:00:00.0,KJAN,12322,WUUS54,SEVERE THUNDERSTORM
2015-02-01 23:29:00.0,2015-02-02 00:15:00.0,KJAN,12329,WUUS54,SEVERE THUNDERSTORM
2015-02-01 23:47:00.0,2015-02-02 00:30:00.0,KJAN,12347,WUUS54,SEVERE THUNDERSTORM
2015-02-01 23:54:00.0,2015-02-02 00:45:00.0,KJAN,12354,WUUS54,SEVERE THUNDERSTORM
2015-02-02 00:01:00.0,2015-02-02 01:15:00.0,KJAN,20001,WUUS54,SEVERE THUNDERSTORM
2015-02-02 00:13:00.0,2015-02-02 01:00:00.0,KJAN,20013,WUUS54,SEVERE THUNDERSTORM
